archetype,k,period_months,phase_coherence,amplitude_correlation,n_pairs
C0_personnel,1,12.0,0.4058482508653552,-0.021264468899119423,500
C0_personnel,2,6.0,0.3216122194972645,-0.032278497902628364,500
C0_personnel,3,4.0,0.09185019452853947,-0.021282991963371974,500
C0_personnel,4,3.0,0.5210857004132087,0.12163536676522592,499
C0_personnel,5,2.4,0.026943058520196777,-0.0006736799336925962,499
C0_personnel,6,2.0,0.372,0.14250192851109925,500
C1_direct_invest,1,12.0,0.0837228209508092,0.030141460505710014,500
C1_direct_invest,2,6.0,0.21619175276919864,-0.028771242194340914,500
C1_direct_invest,3,4.0,0.1026301179413401,-0.07480796577520818,499
C1_direct_invest,4,3.0,0.536460976886607,0.10606642535149659,500
C1_direct_invest,5,2.4,0.04381992636725315,-0.01825923433276961,499
C1_direct_invest,6,2.0,0.2985971943887775,-0.006039525485707389,499
C2_chooyeon,1,12.0,0.5426684815697174,0.006733266440751588,500
C2_chooyeon,2,6.0,0.129302742580468,-0.003814614527526819,499
C2_chooyeon,3,4.0,0.14430332437155455,-0.022772622776503906,500
C2_chooyeon,4,3.0,0.029049527118181397,0.014064720863464547,500
C2_chooyeon,5,2.4,0.0955393451114214,-0.01335006975962991,500
C2_chooyeon,6,2.0,0.008,0.0037415056158232175,500
C3_normal,1,12.0,0.12576884215399445,-0.015757400474323665,500
C3_normal,2,6.0,0.13175076047118575,-0.0025132074590827297,500
C3_normal,3,4.0,0.09278318066752296,0.0029203283331951163,500
C3_normal,4,3.0,0.2515244141652933,-0.021672459892882624,500
C3_normal,5,2.4,0.03296758551518047,-0.0007318568759364138,500
C3_normal,6,2.0,0.132,0.061222412305667315,500
